
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
520,4,0,1,2022-05-22 07:44:00.000,230002,,2022-05-22 07:51:58.373,2022-05-22 07:51:58.371,1,1.5555556,0.81,0.04,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:44:59.999,ec940c41-d50c-bc78-b321-7e01802f9561,
7128,4,0,17,2022-05-22 10:58:00.000,230002,,2022-05-22 10:59:37.393,2022-05-22 10:59:37.393,17,1.9444444,13.86,0.64,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 10:58:59.999,c62f3629-c25c-7880-44f9-66672c4246b1,
57430,4,2,126,2022-05-22 14:25:00.000,230002,,2022-05-22 14:26:57.414,2022-05-22 14:25:18.457,128,1.8271353,104.933,5.131,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 14:25:59.999,5dcda928-9960-fae1-461f-d39802dc4151,
28517,4,0,53,2022-05-22 12:16:00.000,230002,,2022-05-22 12:19:55.358,2022-05-22 12:16:37.262,53,1.4632365,41.728,2.311,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 12:16:59.999,e39dd195-7956-7940-3925-4e63f7d40f8c,
17280,4,0,30,2022-05-22 14:29:00.000,,,2022-05-22 14:35:01.760,2022-05-22 14:35:01.760,30,1.3055556,22.56,1.19,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 14:30:00.000,a4229b09-8f9c-48b7-8284-aba681953d65,
6652,4,0,11,2022-05-22 08:01:00.000,230002,,2022-05-22 08:03:20.756,2022-05-22 08:03:20.756,11,1.2777778,8.5,0.39,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:01:59.999,5180d74d-5c60-d230-0f57-f897d1808bfe,
4854,4,0,11,2022-05-22 11:25:00.000,230002,,2022-05-22 11:35:01.151,2022-05-22 11:35:01.151,11,1.8333334,8.9,0.37,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 11:25:59.999,9b0f3e23-e5de-bd65-c601-cca97bedf215,
60000,4,0,118,2022-05-22 14:35:00.000,230002,,2022-05-22 14:39:35.318,2022-05-22 14:39:35.317,118,1.5785,94.71,4.72,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 14:35:59.999,40e40684-8caf-033f-f617-a3ff5d2de4de,
17140,4,0,30,2022-05-22 12:45:00.000,230002,,2022-05-22 12:46:05.407,2022-05-22 12:46:05.407,30,1.3611112,23.33,1.29,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 12:45:59.999,c045a2c2-ddc8-7f0e-30b2-38fc1db232ed,
4840,4,0,9,2022-05-22 08:33:00.000,230002,,2022-05-22 08:34:01.372,2022-05-22 08:34:01.371,9,1.5,7.26,0.36,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:33:59.999,6b1e0705-92a3-78a5-a48e-33c394852f9f,
38755,4,0,74,2022-05-22 14:41:00.000,230002,,2022-05-22 14:44:22.191,2022-05-22 14:44:22.191,74,1.5277778,59.21,2.95,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 14:41:59.999,46242728-4bd9-14a9-40a4-37a302c5f688,
21117,4,0,34,2022-05-22 12:17:00.000,230002,,2022-05-22 12:19:55.366,2022-05-22 12:19:55.366,34,1.2222222,25.81,1.48,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 12:17:59.999,b8a3b3f6-e81b-824a-f289-538125c3062a,
6644,4,0,12,2022-05-22 13:01:00.000,,,2022-05-22 13:01:46.278,2022-05-22 13:01:46.278,12,1.3333334,8.86,0.4,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 13:02:00.000,c6452223-fc99-4dc3-8fed-418c40b33f29,
8877,4,0,15,2022-05-22 09:50:00.000,230002,,2022-05-22 09:50:38.469,2022-05-22 09:50:38.469,15,1.3055556,11.59,0.61,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:50:59.999,bbb8b9a3-2d0c-995b-abd8-3ecacf196824,
60000,4,0,117,2022-05-22 14:47:00.000,230002,,2022-05-22 14:53:03.426,2022-05-22 14:53:03.426,117,1.569,94.14,4.68,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 14:47:59.999,54759fcd-fcd2-9c50-7b07-7a2289414858,
5793,4,0,11,2022-05-22 09:04:00.000,230002,,2022-05-22 09:04:45.313,2022-05-22 09:04:45.313,11,1.4722222,8.53,0.46,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:04:59.999,88eb7f81-fb1c-9870-c725-668e6a10b890,
17302,4,0,33,2022-05-22 13:03:00.000,230002,,2022-05-22 13:04:00.305,2022-05-22 13:03:30.855,33,1.5380303,26.611,1.31,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 13:03:59.999,02b6c91e-163f-5849-9dfb-250146d2aa76,
